,dist_type,layer,pseudo-F,p-value
301,earth_mover,49,2.0106484899660377,0.0017
302,earth_mover,50,2.0687673611678057,0.0006
303,earth_mover,51,2.049301827807936,0.0007
304,earth_mover,52,2.0309453870951413,0.0004
305,earth_mover,53,2.0791767692888556,0.0004
306,earth_mover,54,2.0827568265483287,0.0005
307,earth_mover,55,2.168604428296031,0.0001
308,earth_mover,56,2.297017716207475,0.0001
309,earth_mover,57,2.2856856539720516,0.0001
310,earth_mover,58,2.270284915061851,0.0001
311,earth_mover,59,2.2765205271194406,0.0001
312,earth_mover,60,2.2607638295451307,0.0001
313,earth_mover,61,2.2829182812939957,0.0001
314,earth_mover,62,2.2650725750833596,0.0001
315,earth_mover_unit,0,2.568940920855368,0.0001
316,earth_mover_unit,1,2.420297767828513,0.0001
317,earth_mover_unit,2,2.372182613981892,0.0001
318,earth_mover_unit,3,2.3485760911906657,0.0001
319,earth_mover_unit,4,2.283084973050152,0.0001
320,earth_mover_unit,5,2.152204561667281,0.0001
321,earth_mover_unit,6,2.210895680639974,0.0001
322,earth_mover_unit,7,2.237362973639595,0.0001
323,earth_mover_unit,8,2.0344740241743327,0.0001
324,earth_mover_unit,9,2.1699366714171218,0.0001
325,earth_mover_unit,10,2.103082663156742,0.0001
326,earth_mover_unit,11,2.194278897422344,0.0001
327,earth_mover_unit,12,2.196228731878594,0.0001
328,earth_mover_unit,13,2.1942011440621068,0.0001
329,earth_mover_unit,14,2.262278686934232,0.0001
330,earth_mover_unit,15,2.3037420191551896,0.0001
331,earth_mover_unit,16,2.146441668396661,0.0001
332,earth_mover_unit,17,2.1522298411833374,0.0001
333,earth_mover_unit,18,2.0149317845855346,0.0012
334,earth_mover_unit,19,2.0040027579830904,0.0005
335,earth_mover_unit,20,2.0202128488368065,0.0008
336,earth_mover_unit,21,2.2716360941961766,0.0005
337,earth_mover_unit,22,2.0310925671642863,0.0009
338,earth_mover_unit,23,2.0043638476999925,0.0021
339,earth_mover_unit,24,1.7905262214733346,0.0538
340,earth_mover_unit,25,1.7006078201683972,0.0743
341,earth_mover_unit,26,1.8597063192066356,0.003
342,earth_mover_unit,27,1.9249543823051216,0.0009
343,earth_mover_unit,28,2.0047256858889004,0.0003
344,earth_mover_unit,29,2.0331823861863207,0.0006
345,earth_mover_unit,30,2.1434105272492956,0.0002
346,earth_mover_unit,31,2.231116823027,0.0002
347,earth_mover_unit,32,2.4489290176014165,0.0001
348,earth_mover_unit,33,2.4275821705001093,0.0001
349,earth_mover_unit,34,2.421443334617657,0.0007
350,earth_mover_unit,35,2.468314446694164,0.0016
351,earth_mover_unit,36,2.367299861692536,0.0016
352,earth_mover_unit,37,2.3116532329501367,0.0011
353,earth_mover_unit,38,2.4554577034483853,0.0006
354,earth_mover_unit,39,2.4281415750647053,0.0002
355,earth_mover_unit,40,2.501248417842966,0.0003
356,earth_mover_unit,41,2.457714307618245,0.0001
357,earth_mover_unit,42,2.4677316623271137,0.0002
358,earth_mover_unit,43,2.5340652627153712,0.0002
359,earth_mover_unit,44,2.460296823447626,0.0001
360,earth_mover_unit,45,2.351328729157311,0.0001
361,earth_mover_unit,46,2.389693117008062,0.0002
362,earth_mover_unit,47,2.378828896968473,0.0002
363,earth_mover_unit,48,2.3616240537439412,0.0004
364,earth_mover_unit,49,2.3150333897495305,0.0002
365,earth_mover_unit,50,2.308396918355346,0.0005
366,earth_mover_unit,51,2.2840345252003735,0.0002
367,earth_mover_unit,52,2.2731268846292862,0.0004
368,earth_mover_unit,53,2.2654079597756778,0.0003
369,earth_mover_unit,54,2.238033452985742,0.0002
370,earth_mover_unit,55,2.291913968379468,0.0002
371,earth_mover_unit,56,2.35918991286543,0.0001
372,earth_mover_unit,57,2.3506614271688715,0.0001
373,earth_mover_unit,58,2.4102694917590335,0.0001
374,earth_mover_unit,59,2.4198764327110345,0.0001
375,earth_mover_unit,60,2.410458095820872,0.0001
376,earth_mover_unit,61,2.430446892270563,0.0001
377,earth_mover_unit,62,2.463944066607224,0.0001
378,energy,0,2.339867784672096,0.0037
379,energy,1,2.1877936131059554,0.009
380,energy,2,1.8405785857466148,0.027
381,energy,3,1.8677587289098294,0.0233
382,energy,4,1.8483252246508155,0.0258
383,energy,5,1.802093744350048,0.0548
384,energy,6,1.940911311199214,0.038
385,energy,7,2.127720085744101,0.0188
386,energy,8,1.862074378762394,0.0374
387,energy,9,2.7784076586861204,0.0025
388,energy,10,2.3450362182867495,0.0083
389,energy,11,2.7291442650315365,0.0124
390,energy,12,3.0432173096444446,0.0012
391,energy,13,3.1769892191040943,0.0001
392,energy,14,3.78432390555021,0.0002
393,energy,15,3.2896684065193744,0.0009
394,energy,16,2.394292434825795,0.018
395,energy,17,2.5145272924100657,0.0576
